Race,sd,USD,Income Adjusted
Asian,222.81193789121897,299.27263128082234,Adjusted
Asian,243.72334307299124,327.3600457692856,Raw
Black,3139.4504011096506,546.4945254204076,Adjusted
Black,1564.636059658949,272.3613791053198,Raw
Hispanic,350.05730243055643,458.7321025493929,Adjusted
Hispanic,246.33326543736564,322.80708328990596,Raw
Nat. Am.,513.1470042444201,533.2886537725194,Adjusted
Nat. Am.,281.3135002339652,292.35540027892097,Raw
Other,361.7667588881257,451.6835207447611,Adjusted
Other,233.89100063215614,292.0243721693553,Raw
White,762.8519771887768,308.7538969613591,Adjusted
White,801.9821186388169,324.59128615692947,Raw
